instance_id,seed_path,install_dirs,package_manager,package_manager_source,dependency_class,verifier_installs_deps,all_package_dirs,note
repair-angular__jira-clone-angular-01,repo/angular/jira-clone-angular,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__json-i18n-editor-01,repo/angular/json-i18n-editor,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__material-angular-dashboard-01,repo/angular/material-angular-dashboard,.,yarn,yarn.lock,preinstalled-required,,.,
repair-angular__ng-alain-01,repo/angular/ng-alain,.,yarn,verifier,verifier-installs,yarn install,.,
repair-angular__ng-lite-todo-01,repo/angular/ng-lite-todo,.,npm,verifier,verifier-installs,npm ci;npm install,.,
repair-angular__ngrx-material-starter-01,repo/angular/ngrx-material-starter,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__ngx-admin-01,repo/angular/ngx-admin,.,npm,verifier,verifier-installs,npm install,.,
repair-angular__ngx-chess-board-01,repo/angular/ngx-chess-board,.,npm,package-lock.json,preinstalled-required,,.;projects/ngx-chess-board,
repair-angular__pokedex-angular-app-01,repo/angular/pokedex-angular-app,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__quizify-01,repo/angular/quizify,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__realworld-angular-01,repo/angular/realworld-angular,.,npm,verifier,verifier-installs,npm install,.,
repair-angular__report-editor-01,repo/angular/report-editor,.,npm,verifier,verifier-installs,npm ci;npm install,.,
repair-angular__skinet-01,repo/angular/skinet,client,npm,verifier,verifier-installs,npm ci;npm install,client,
repair-angular__swarlehtaire-01,repo/angular/swarlehtaire,.,npm,verifier,verifier-installs,npm ci,.;resources/apps;resources/images;resources/playwright;tools/builders,
repair-angular__todo-app-ngrx-01,repo/angular/todo-app-ngrx,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-angular__trep-tracker-01,repo/angular/trep-tracker,.,npm,package-lock.json,preinstalled-required,,.,
repair-angular__tugtainer-01,repo/angular/tugtainer,tests,npm,verifier,verifier-installs,npm ci;npm install,frontend;tests,
repair-angular__turbopixel-01,repo/angular/turbopixel,.,npm,verifier,verifier-installs,npm ci,.,
repair-react__15-puzzle-react-01,repo/react/15-puzzle-react,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__admiral-01,repo/react/admiral,.,yarn,yarn.lock,preinstalled-required,,.;examples/express-server;examples/express-server/admiral,
repair-react__ant-design-pro-01,repo/react/ant-design-pro,.,npm,package-lock.json,preinstalled-required,,.;cloudflare-worker,
repair-react__arcomage-hd-01,repo/react/arcomage-hd,.,bun,bun.lock,preinstalled-required,,.,
repair-react__battle-city-01,repo/react/battle-city,.,yarn,yarn.lock,preinstalled-required,,.,
repair-react__black-dashboard-react-01,repo/react/black-dashboard-react,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__bull-rush-01,repo/react/bull-rush,.,npm,package-lock.json,preinstalled-required,,.;contracts/lib/forge-std;contracts/lib/openzeppelin-contracts,
repair-react__coreui-free-react-01,repo/react/coreui-free-react,.,npm,default,preinstalled-required,,.,
repair-react__crossnote-app-01,repo/react/crossnote-app,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-react__drawdb-01,repo/react/drawdb,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__dunno-01,repo/react/dunno,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__eletypes-01,repo/react/eletypes,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__fabritor-web-01,repo/react/fabritor-web,.,yarn,yarn.lock,preinstalled-required,,.,
repair-react__filerobot-image-editor-01,repo/react/filerobot-image-editor,.,yarn,yarn.lock,preinstalled-required,,.;packages/filerobot-image-editor;packages/react-filerobot-image-editor,
repair-react__fortune-sheet-01,repo/react/fortune-sheet,.,yarn,yarn.lock,preinstalled-required,,.;docs;packages/core;packages/formula-parser;packages/react,
repair-react__free-react-tailwind-admin-dashboard-01,repo/react/free-react-tailwind-admin-dashboard,.,npm,verifier,verifier-installs,npm install,.,
repair-react__hospitalrun-repair-02,repo/react/hospitalrun,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__idlecraft-01,repo/react/idlecraft,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-react__io-808-01,repo/react/io-808,.,yarn,yarn.lock,preinstalled-required,,.;vendor/react;vendor/react-dom;vendor/scheduler,
repair-react__learn-react-app-01,repo/react/learn-react-app,.,yarn,yarn.lock,preinstalled-required,,.,
repair-react__loofi-01,repo/react/loofi,.,yarn,yarn.lock,preinstalled-required,,.,
repair-react__markdown-nice-01,repo/react/markdown-nice,.,yarn,yarn.lock,preinstalled-required,,.,
repair-react__markpad-01,repo/react/markpad,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__markra-01,repo/react/markra,.;apps/web,pnpm,verifier,verifier-installs,pnpm install,.;apps/desktop;apps/web;packages/ai;packages/app;packages/editor;packages/editor-react;packages/markdown;packages/providers;packages/scripts;packages/shared;packages/ui,
repair-react__material-dashboard-react-01,repo/react/material-dashboard-react,.,npm,default,preinstalled-required,,.,
repair-react__mtsee-image-editor-01,repo/react/mtsee-image-editor,.,yarn,yarn.lock,preinstalled-required,,.,
repair-react__open-dronelog-01,repo/react/open-dronelog,.,npm,package-lock.json,preinstalled-required,,.;deps,
repair-react__personal-kanban-01,repo/react/personal-kanban,.,yarn,yarn.lock,preinstalled-required,,.,
repair-react__pixel-art-react-01,repo/react/pixel-art-react,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__react-image-editor-01,repo/react/react-image-editor,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__react-piano-01,repo/react/react-piano,.;demo,yarn,yarn.lock,preinstalled-required,,.;demo,
repair-react__react-tetris-01,repo/react/react-tetris,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__readme-so-01,repo/react/readme-so,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__seven23-01,repo/react/seven23,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__takenote-01,repo/react/takenote,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__truck-tools-01,repo/react/truck-tools,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-react__webamp-01,repo/react/webamp,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.;examples/lazy;packages/ani-cursor;packages/skin-database;packages/skin-museum-og;packages/webamp;packages/webamp-demo;packages/webamp-docs;packages/webamp-modern;packages/winamp-eqf,
repair-react__word-master-01,repo/react/word-master,.,npm,package-lock.json,preinstalled-required,,.,
repair-react__ytubic-01,repo/react/ytubic,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-solid__ai-translate-01,repo/solid/ai-translate,.,npm,verifier,verifier-installs,npm install,.,
repair-solid__camunda_modeler_logicflowify-01,repo/solid/camunda_modeler_logicflowify,.,pnpm,verifier,verifier-installs,pnpm install,.,
repair-solid__guinetik-01,repo/solid/guinetik,.,npm,verifier,verifier-installs,npm install,.,
repair-solid__hlviewer.js-01,repo/solid/hlviewer.js,.,npm,verifier,verifier-installs,npm install,.,
repair-solid__holodevdao-01,repo/solid/holodevdao,.,npm,verifier,verifier-installs,npm install,.,
repair-solid__iplayer-arr-01,repo/solid/iplayer-arr,frontend,npm,verifier,verifier-installs,npm install,frontend,
repair-solid__krestianstvo-playground-01,repo/solid/krestianstvo-playground,.,npm,verifier,verifier-installs,npm install,.,
repair-solid__microtube-01,repo/solid/microtube,.,npm,verifier,verifier-installs,npm install,.,
repair-solid__minimal-chrome-tab-01,repo/solid/minimal-chrome-tab,.,pnpm,verifier,verifier-installs,pnpm install,.,
repair-solid__realworld-solid-01,repo/solid/realworld-solid,.,npm,verifier,verifier-installs,npm ci,.,
repair-solid__shuthost-01,repo/solid/shuthost,frontend,pnpm,pnpm-lock.yaml,preinstalled-required,,frontend,
repair-solid__smart-text-editor-01,repo/solid/smart-text-editor,.,npm,verifier,verifier-installs,npm install,.,
repair-solid__solibee-01,repo/solid/solibee,.,npm,verifier,verifier-installs,npm install,.;packages/cli,
repair-solid__solid-game-of-life-01,repo/solid/solid-game-of-life,.,pnpm,verifier,verifier-installs,pnpm install,.,
repair-solid__solid-minesweeper-01,repo/solid/solid-minesweeper,.,npm,verifier,verifier-installs,npm install,.,
repair-solid__solid-shopping-cart-01,repo/solid/shopping-cart,.,pnpm,verifier,verifier-installs,pnpm install,.,
repair-solid__solid-site-01,repo/solid/solid-site,.,pnpm,verifier,verifier-installs,pnpm install,.;workers-site,
repair-svelte__armoria-01,repo/svelte/armoria,.,npm,package-lock.json,preinstalled-required,,.,
repair-svelte__atom-clicker-01,repo/svelte/atom-clicker,.,bun,bun.lock,preinstalled-required,,.,
repair-svelte__blockhead-01,repo/svelte/blockhead,.,pnpm,verifier,verifier-installs,pnpm install,.,
repair-svelte__comine-01,repo/svelte/comine,.,pnpm,verifier,verifier-installs,pnpm install,.,
repair-svelte__figmaboy-01,repo/svelte/figmaboy,.,bun,bun.lock,preinstalled-required,,.;website,
repair-svelte__flaggle-01,repo/svelte/flaggle,.,npm,package-lock.json,preinstalled-required,,.,
repair-svelte__genshin-wish-sim-01,repo/svelte/genshin-wish-sim,.,yarn,yarn.lock,preinstalled-required,,.,
repair-svelte__geoquest-01,repo/svelte/geoquest,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-svelte__hexapipes-01,repo/svelte/hexapipes,.,npm,verifier,verifier-installs,npm install,.,
repair-svelte__loot-raiders-01,repo/svelte/loot-raiders,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-svelte__macos-web-01,repo/svelte/macos-web,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-svelte__mdflux-01,repo/svelte/mdflux,app,npm,verifier,verifier-installs,npm install,app,
repair-svelte__mermaid-live-editor-01,repo/svelte/mermaid-live-editor,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-svelte__nimbo-01,repo/svelte/nimbo,.,npm,package-lock.json,preinstalled-required,,.,
repair-svelte__personkanban-01,repo/svelte/personkanban,.,npm,default,preinstalled-required,,.;frontend;frontend/wailsjs/runtime;wailsjs/runtime,
repair-svelte__plinko-game-01,repo/svelte/plinko-game,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-svelte__svelte-storm-01,repo/svelte/svelte-storm,.,npm,default,preinstalled-required,,.,
repair-svelte__svelte-tower-defence-01,repo/svelte/svelte-tower-defence,.,npm,package-lock.json,preinstalled-required,,.,
repair-svelte__svelte-video-editor-01,repo/svelte/svelte-video-editor,.,npm,package-lock.json,preinstalled-required,,.,
repair-svelte__svelteforge-admin-01,repo/svelte/svelteforge-admin,.,pnpm,verifier,verifier-installs,pnpm install,.,
repair-svelte__sveltemark-01,repo/svelte/sveltemark,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-svelte__visual-sorting-01,repo/svelte/visual-sorting,.,npm,package-lock.json,preinstalled-required,,.,
repair-svelte__win11-svelte-01,repo/svelte/win11-svelte,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-svelte__wolfensvelte-01,repo/svelte/wolfensvelte,.,npm,verifier,verifier-installs,npm install,.,
repair-svelte__word-peaks-01,repo/svelte/word-peaks,.,npm,package-lock.json,preinstalled-required,,.,
repair-svelte__wordle-mikhad-01,repo/svelte/wordle-mikhad,.,npm,package-lock.json,preinstalled-required,,.,
repair-vanilla__1255-burgomaster-01,repo/vanilla/1255-burgomaster,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__MineWorld-01,repo/vanilla/MineWorld,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__PolyPal-01,repo/vanilla/PolyPal,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__VvvebJs-01,repo/vanilla/VvvebJs,.,npm,package-lock.json,preinstalled-required,,.;demo/landing,
repair-vanilla__annihilate-01,repo/vanilla/annihilate,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__audiomass-01,repo/vanilla/audiomass,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__beepbox-01,repo/vanilla/beepbox,.,npm,package-lock.json,preinstalled-required,,.,
repair-vanilla__cherry-markdown-01,repo/vanilla/cherry-markdown,.,yarn,yarn.lock,preinstalled-required,,.;examples/cherry-markdown-publish;examples/miniProgram;examples/react_demo;packages/cherry-markdown;packages/client;packages/miniProgram;packages/vscodePlugin,
repair-vanilla__cm-chessboard-01,repo/vanilla/cm-chessboard,.,npm,package-lock.json,preinstalled-required,,.,
repair-vanilla__cursedSouls-01,repo/vanilla/cursedSouls,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__dead-valley-01,repo/vanilla/dead-valley,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__esp32-webStudio-IDE-01,repo/vanilla/esp32-webStudio-IDE,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__fifteen-puzzle-maker-01,repo/vanilla/fifteen-puzzle-maker,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__hk-dashboard-01,repo/vanilla/hk-dashboard,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__isaac-webgame-01,repo/vanilla/isaac-webgame,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__js-chess-game-01,repo/vanilla/js-chess-game,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__js-minecraft-01,repo/vanilla/js-minecraft,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__jsminesweeper-01,repo/vanilla/jsminesweeper,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__json-editor-01,repo/vanilla/json-editor,.,npm,package-lock.json,preinstalled-required,,.,
repair-vanilla__jspaint-01,repo/vanilla/jspaint,.,npm,package-lock.json,preinstalled-required,,.;discord-activity;discord-activity/packages/server;lib/tracky-mouse;lib/tracky-mouse/core;lib/tracky-mouse/desktop-app;lib/tracky-mouse/website,
repair-vanilla__kaboom-game-01,repo/vanilla/kaboom-game,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__luckysheet-01,repo/vanilla/luckysheet,.,npm,package-lock.json,preinstalled-required,,.,
repair-vanilla__mapdraw-01,repo/vanilla/mapdraw,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__method-draw-01,repo/vanilla/method-draw,.,npm,package-lock.json,preinstalled-required,,.,
repair-vanilla__minesweeper-nickarocho-01,repo/vanilla/minesweeper,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__mini-militia-01,repo/vanilla/mini-militia,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__mini-padder-01,repo/vanilla/mini-padder,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__minipaint-01,repo/vanilla/minipaint,.,npm,package-lock.json,preinstalled-required,,.,
repair-vanilla__modern-portfolio-website-template-01,repo/vanilla/modern-portfolio-website-template,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__monopoly-vanilla-01,repo/vanilla/monopoly-vanilla,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__moon-rover-01,repo/vanilla/moon-rover,.,npm,default,preinstalled-required,,.,
repair-vanilla__neovid-01,repo/vanilla/neovid,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__organya-js-01,repo/vanilla/organya-js,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__painter-01,repo/vanilla/painter,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__piskel-01,repo/vanilla/piskel,.,npm,package-lock.json,preinstalled-required,,.,
repair-vanilla__pixel-paint-01,repo/vanilla/pixel-paint,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__progress-knight-01,repo/vanilla/progress-knight,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__pulseq-01,repo/vanilla/pulseq,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__realworld-wc-01,repo/vanilla/realworld-wc,.,yarn,yarn.lock,preinstalled-required,,.,
repair-vanilla__slickgrid-01,repo/vanilla/slickgrid,.,npm,verifier,verifier-installs,npm install,.;vite-demo,
repair-vanilla__slot-game-01,repo/vanilla/slot-game,.,npm,package-lock.json,preinstalled-required,,.,
repair-vanilla__stampadia-generals-01,repo/vanilla/stampadia-generals,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__star-battle-01,repo/vanilla/star-battle,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__summernote-01,repo/vanilla/summernote,.,yarn,yarn.lock,preinstalled-required,,.,
repair-vanilla__svgedit-01,repo/vanilla/svgedit,.,npm,package-lock.json,preinstalled-required,,.;packages/react-test;packages/svgcanvas,
repair-vanilla__svgomg-01,repo/vanilla/svgomg,.,npm,package-lock.json,preinstalled-required,,.,
repair-vanilla__tss-01,repo/vanilla/tss,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vanilla__vditor-01,repo/vanilla/vditor,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-vanilla__x-spreadsheet-01,repo/vanilla/x-spreadsheet,.,npm,package-lock.json,preinstalled-required,,.,
repair-vanilla__yet-another-idle-rpg-01,repo/vanilla/yet-another-idle-rpg,,,,no-node-project,,,no package.json; the verifier serves the source tree directly
repair-vue__admin-one-vue-tailwind-01,repo/vue/admin-one-vue-tailwind,.,npm,package-lock.json,preinstalled-required,,.,
repair-vue__arco-design-pro-vue-01,repo/vue/arco-design-pro-vue,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-vue__art-design-pro-01,repo/vue/art-design-pro,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-vue__bitmappery-01,repo/vue/bitmappery,.,npm,verifier,verifier-installs,npm install,.,
repair-vue__code-run-01,repo/vue/code-run,.,npm,package-lock.json,preinstalled-required,,.,
repair-vue__cool-admin-vue-01,repo/vue/cool-admin-vue,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.;packages/crud;packages/vite-plugin,
repair-vue__coreui-free-vue-01,repo/vue/coreui-free-vue,.,npm,package-lock.json,preinstalled-required,,.,
repair-vue__d2-admin-01,repo/vue/d2-admin,.,npm,package-lock.json,preinstalled-required,,.,
repair-vue__dashy-01,repo/vue/dashy,.,yarn,yarn.lock,preinstalled-required,,.,
repair-vue__dmarcguard-01,repo/vue/dmarcguard,.,bun,bun.lock,preinstalled-required,,.,
repair-vue__domternal-01,repo/vue/domternal,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.;apps/demo-angular;apps/demo-react;apps/demo-vanilla;apps/demo-vue;packages/angular;packages/angular/dist;packages/core;packages/extension-block-controls;packages/extension-code-block-lowlight;packages/extension-details;packages/extension-emoji;packages/extension-image;packages/extension-markdown;packages/extension-math;packages/extension-mention;packages/extension-table;packages/extension-toc;packages/pm;packages/react;packages/theme;packages/vanilla;packages/vue;tests/consumer-types,
repair-vue__e-card-01,repo/vue/e-card,.,npm,verifier,verifier-installs,npm install,.,
repair-vue__focustide-01,repo/vue/focustide,.,yarn,yarn.lock,preinstalled-required,,.,
repair-vue__homer-01,repo/vue/homer,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-vue__idle-negentropy-war-01,repo/vue/idle-negentropy-war,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-vue__idle-wild-my-survival-saga-01,repo/vue/idle-wild-my-survival-saga,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-vue__idle-xiuxian-01,repo/vue/idle-xiuxian,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-vue__markdown-online-editor-01,repo/vue/markdown-online-editor,.,yarn,yarn.lock,preinstalled-required,,.,
repair-vue__restfox-ui-01,repo/vue/restfox-ui,.,npm,package-lock.json,preinstalled-required,,.,
repair-vue__solomd-01,repo/vue/solomd,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-vue__synced-lyrics-editor-webapp-v2-01,repo/vue/synced-lyrics-editor-webapp-v2,.,bun,bun.lock,preinstalled-required,,.,
repair-vue__tauri-xs-admin-01,repo/vue/tauri-xs-admin,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-vue__threejs-editor-vue-01,repo/vue/threejs-editor-vue,.,npm,default,preinstalled-required,,.,
repair-vue__uview-pro-01,repo/vue/uview-pro,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.;src/uni_modules/uview-pro;src/uni_modules/zero-markdown-view,
repair-vue__vue-admin-box-01,repo/vue/vue-admin-box,.,npm,verifier,verifier-installs,npm ci;npm install,.,
repair-vue__vue-color-avatar-01,repo/vue/vue-color-avatar,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-vue__vue-crypto-dashboard-01,repo/vue/vue-crypto-dashboard,.,npm,package-lock.json,preinstalled-required,,.,
repair-vue__vue-element-admin-01,repo/vue/vue-element-admin,.,npm,package-lock.json,preinstalled-required,,.,
repair-vue__vue-fabric-editor-01,repo/vue/vue-fabric-editor,.,pnpm,verifier,verifier-installs,pnpm install,.;packages/core,
repair-vue__vue-manage-system-01,repo/vue/vue-manage-system,.,yarn,yarn.lock,preinstalled-required,,.,
repair-vue__vue-pure-admin-01,repo/vue/vue-pure-admin,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-vue__vue3-element-admin-01,repo/vue/vue3-element-admin,.,pnpm,pnpm-lock.yaml,preinstalled-required,,.,
repair-vue__vuestic-admin-01,repo/vue/vuestic-admin,.,yarn,yarn.lock,preinstalled-required,,.,
repair-vue__xiuxiangame-01,repo/vue/xiuxiangame,.,npm,package-lock.json,preinstalled-required,,.,
